Suburb,Postcode,Level,School,approx,dist_m,dist_m_round,label,Rcodes_list,Top_rcode,Top_rcode_pct,in_bushfire_prone,pct_overlap
Ashby,6065,Primary,Dianella Heights Primary School,TRUE,15534.32346,15534,Dianella Heights Primary School (approx ~15534 m),"R20 (24.0%), R40 (8.4%), R-AC4 (1.8%), R80 (0.9%), R-AC3 (0.6%), R30 (0.3%)",R20,24,TRUE,46.50380831
Ashby,6065,Secondary,Duncraig Senior High School,TRUE,7325.591903,7326,Duncraig Senior High School (approx ~7326 m),"R20 (24.0%), R40 (8.4%), R-AC4 (1.8%), R80 (0.9%), R-AC3 (0.6%), R30 (0.3%)",R20,24,TRUE,46.50380831
Ashendon,6111,Secondary,Willeton Senior High School,TRUE,19844.84376,19845,Willeton Senior High School (approx ~19845 m),,R2.5,,TRUE,98.41184483
Ashfield,6054,Primary,Bayswater Primary School,TRUE,537.5913467,538,Bayswater Primary School (approx ~538 m),"R20 (20.7%), R30 (1.4%), R20/30 (0.4%)",R20,20.7,TRUE,11.28651788
Ashfield,6054,Secondary,John Forrest Secondary College,FALSE,,,John Forrest Secondary College,"R20 (20.7%), R30 (1.4%), R20/30 (0.4%)",R20,20.7,TRUE,11.28651788
Attadale,6156,Primary,Manning Primary School,TRUE,3840.072103,3840,Manning Primary School (approx ~3840 m),"R15 (12.4%), R12.5 (2.2%), R40 (1.6%), R50 (1.3%), R30/40 (1.1%), R30 (0.8%), R60 (0.6%), R25 (0.6%), R20 (0.6%), R-AC0 (0.1%)",R15,12.4,TRUE,6.199321641
Attadale,6156,Secondary,Applecross Senior High School,FALSE,,,Applecross Senior High School,"R15 (12.4%), R12.5 (2.2%), R40 (1.6%), R50 (1.3%), R30/40 (1.1%), R30 (0.8%), R60 (0.6%), R25 (0.6%), R20 (0.6%), R-AC0 (0.1%)",R15,12.4,TRUE,6.199321641
Attadale,6156,Secondary,Melville Senior High School,FALSE,,,Melville Senior High School,"R15 (12.4%), R12.5 (2.2%), R40 (1.6%), R50 (1.3%), R30/40 (1.1%), R30 (0.8%), R60 (0.6%), R25 (0.6%), R20 (0.6%), R-AC0 (0.1%)",R15,12.4,TRUE,6.199321641
Atwell,6164,Primary,Manning Primary School,TRUE,10440.54717,10441,Manning Primary School (approx ~10441 m),"R20 (5.9%), R30 (2.7%), R5 (1.0%), R12.5 (0.5%), R40 (0.5%), R25 (0.3%), R80 (0.1%)",R20,5.9,TRUE,23.13847236
Atwell,6164,Secondary,Leeming Senior High School,TRUE,4404.891554,4405,Leeming Senior High School (approx ~4405 m),"R20 (5.9%), R30 (2.7%), R5 (1.0%), R12.5 (0.5%), R40 (0.5%), R25 (0.3%), R80 (0.1%)",R20,5.9,TRUE,23.13847236
Aubin Grove,6164,Primary,Manning Primary School,TRUE,13850.61673,13851,Manning Primary School (approx ~13851 m),"R20 (6.1%), R25 (3.2%), R40 (2.7%), R30 (2.0%), R60 (0.2%)",R20,6.1,TRUE,54.50381076
Aubin Grove,6164,Secondary,Leeming Senior High School,TRUE,7770.5172,7771,Leeming Senior High School (approx ~7771 m),"R20 (6.1%), R25 (3.2%), R40 (2.7%), R30 (2.0%), R60 (0.2%)",R20,6.1,TRUE,54.50381076
Aveley,6069,Primary,Morley Primary School,TRUE,11673.797,11674,Morley Primary School (approx ~11674 m),,R20,,TRUE,48.76089268
Aveley,6069,Secondary,John Forrest Secondary College,TRUE,12741.83944,12742,John Forrest Secondary College (approx ~12742 m),,R20,,TRUE,48.76089268
Balcatta,6021,Primary,Nollamara Primary School,FALSE,,,Nollamara Primary School,,R20,,TRUE,5.517026135
Balcatta,6021,Primary,Osborne Primary School,FALSE,,,Osborne Primary School,,R20,,TRUE,5.517026135
Balcatta,6021,Secondary,Balcatta SHS,FALSE,,,"Carine SHS, Balcatta SHS",,R20,,TRUE,5.517026135
Balcatta,6021,Secondary,Carine SHS,FALSE,,,"Carine SHS, Balcatta SHS",,R20,,TRUE,5.517026135
Balcatta,6021,Secondary,Carine Senior High School,FALSE,,,Carine Senior High School,,R20,,TRUE,5.517026135
Balga,6061,Primary,Dianella Heights Primary School,TRUE,1045.757576,1046,Dianella Heights Primary School (approx ~1046 m),,R30,,TRUE,14.04374916
Balga,6061,Secondary,Balcatta SHS,TRUE,1929.333615,1929,"Carine SHS, Balcatta SHS (approx ~1929 m)",,R30,,TRUE,14.04374916
Balga,6061,Secondary,Carine SHS,TRUE,1929.333615,1929,"Carine SHS, Balcatta SHS (approx ~1929 m)",,R30,,TRUE,14.04374916
Ballajura,6066,Primary,Dianella Heights Primary School,TRUE,2427.249678,2427,Dianella Heights Primary School (approx ~2427 m),"R17.5/35 (2.1%), R15/50 (0.5%), R17.5/40 (0.4%), R17.5/25 (0.4%), R20/35 (0.4%), R15/40 (0.3%), R17.5/50 (0.1%), R15/35 (0.1%), R10/35 (0.0%)",R17.5/35,2.1,TRUE,21.42202837
Ballajura,6066,Secondary,John Forrest Secondary College,TRUE,4205.232921,4205,John Forrest Secondary College (approx ~4205 m),"R17.5/35 (2.1%), R15/50 (0.5%), R17.5/40 (0.4%), R17.5/25 (0.4%), R20/35 (0.4%), R15/40 (0.3%), R17.5/50 (0.1%), R15/35 (0.1%), R10/35 (0.0%)",R17.5/35,2.1,TRUE,21.42202837
Banjup,6164,Primary,Manning Primary School,TRUE,10585.43084,10585,Manning Primary School (approx ~10585 m),R25 (0.0%),R25,0,TRUE,98.46867254
Banjup,6164,Secondary,Leeming Senior High School,TRUE,4599.271051,4599,Leeming Senior High School (approx ~4599 m),R25 (0.0%),R25,0,TRUE,98.46867254
Banksia Grove,6031,Primary,Dianella Heights Primary School,TRUE,17815.55029,17816,Dianella Heights Primary School (approx ~17816 m),"R20 (18.0%), R30 (0.4%), R40 (0.2%)",R20,18,TRUE,41.31908712
Banksia Grove,6031,Secondary,Duncraig Senior High School,TRUE,10201.63069,10202,Duncraig Senior High School (approx ~10202 m),"R20 (18.0%), R30 (0.4%), R40 (0.2%)",R20,18,TRUE,41.31908712
Baskerville,6056,Primary,Morley Primary School,TRUE,13099.14929,13099,Morley Primary School (approx ~13099 m),,R2.5,,TRUE,41.58343518
Baskerville,6056,Secondary,John Forrest Secondary College,TRUE,13349.9408,13350,John Forrest Secondary College (approx ~13350 m),,R2.5,,TRUE,41.58343518
Bassendean,6054,Primary,Bayswater Primary School,TRUE,686.8095953,687,Bayswater Primary School (approx ~687 m),"R20 (13.2%), R20/40 (7.4%), R5 (1.2%), R25 (0.9%), R30 (0.9%), R20/30 (0.8%), R60 (0.7%), R15 (0.5%), R100 (0.5%), R160 (0.2%), R40 (0.2%), R10 (0.1%)",R20,13.2,TRUE,9.109377611
Bassendean,6054,Secondary,John Forrest Secondary College,FALSE,,,John Forrest Secondary College,"R20 (13.2%), R20/40 (7.4%), R5 (1.2%), R25 (0.9%), R30 (0.9%), R20/30 (0.8%), R60 (0.7%), R15 (0.5%), R100 (0.5%), R160 (0.2%), R40 (0.2%), R10 (0.1%)",R20,13.2,TRUE,9.109377611
Bateman,6150,Primary,Manning Primary School,TRUE,1542.367801,1542,Manning Primary School (approx ~1542 m),"R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Applecross SHS,FALSE,,,"Applecross SHS, Melville SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Applecross SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Leeming SHS,FALSE,,,"Willeton SHS, Leeming SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Leeming SHS,FALSE,,,"Rossmoyne SHS, Leeming SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Leeming Senior High School,FALSE,,,Leeming Senior High School,"R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Melville SHS,FALSE,,,"Applecross SHS, Melville SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Rossmoyne SHS,FALSE,,,"Rossmoyne SHS, Leeming SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Rossmoyne SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Rossmoyne Senior High School,FALSE,,,Rossmoyne Senior High School,"R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bateman,6150,Secondary,Willeton SHS,FALSE,,,"Willeton SHS, Leeming SHS","R20 (13.4%), R40 (1.3%)",R20,13.4,TRUE,4.556716815
Bayswater,6053,Primary,Bayswater PS,FALSE,,,"Maylands Peninsula PS, Bayswater PS","R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Bayswater PS,FALSE,,,"Bayswater PS, Hillcrest PS","R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Bayswater Primary School,FALSE,,,Bayswater Primary School,"R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Embleton Primary School,FALSE,,,Embleton Primary School,"R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Hillcrest PS,FALSE,,,"Bayswater PS, Hillcrest PS","R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Hillcrest Primary School,FALSE,,,Hillcrest Primary School,"R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Inglewood Primary School,FALSE,,,Inglewood Primary School,"R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Maylands Peninsula PS,FALSE,,,"Maylands Peninsula PS, Bayswater PS","R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Primary,Maylands Peninsula Primary School,FALSE,,,Maylands Peninsula Primary School,"R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Bayswater,6053,Secondary,John Forrest Secondary College,FALSE,,,John Forrest Secondary College,"R25 (7.0%), R40 (1.1%), R30 (0.5%), R-AC3 (0.3%), R60 (0.3%), R20 (0.1%), R17.5/30 (0.0%)",R25,7,TRUE,5.702243623
Beaconsfield,6162,Primary,Manning Primary School,TRUE,8119.729147,8120,Manning Primary School (approx ~8120 m),,R20,,TRUE,5.241294947
Beaconsfield,6162,Secondary,Frenantle College,TRUE,72.08277361,72,"John Curtin College of the Arts, Melville SHS, Frenantle College (approx ~72 m)",,R20,,TRUE,5.241294947
Beaconsfield,6162,Secondary,John Curtin College of the Arts,TRUE,72.08277361,72,"John Curtin College of the Arts, Melville SHS, Frenantle College (approx ~72 m)",,R20,,TRUE,5.241294947
Beaconsfield,6162,Secondary,Melville SHS,TRUE,72.08277361,72,"John Curtin College of the Arts, Melville SHS, Frenantle College (approx ~72 m)",,R20,,TRUE,5.241294947
Beckenham,6107,Primary,Lathlain Primary School,TRUE,3573.333426,3573,Lathlain Primary School (approx ~3573 m),"R25 (12.3%), R20 (8.2%), R17.5 (6.1%), R40 (3.0%), R60 (1.7%), R30 (1.2%), R80 (0.8%), R100 (0.5%)",R25,12.3,TRUE,31.20173438
Beckenham,6107,Secondary,Como Secondary College,TRUE,2748.69251,2749,Como Secondary College (approx ~2749 m),"R25 (12.3%), R20 (8.2%), R17.5 (6.1%), R40 (3.0%), R60 (1.7%), R30 (1.2%), R80 (0.8%), R100 (0.5%)",R25,12.3,TRUE,31.20173438
Bedford,6052,Primary,Hillcrest Primary School,FALSE,,,Hillcrest Primary School,"R50 (1.4%), R35 (1.3%), R30 (0.9%), R60 (0.4%), R40 (0.1%), R160 (0.0%)",R50,1.4,FALSE,0
Bedford,6052,Primary,Inglewood Primary School,FALSE,,,Inglewood Primary School,"R50 (1.4%), R35 (1.3%), R30 (0.9%), R60 (0.4%), R40 (0.1%), R160 (0.0%)",R50,1.4,FALSE,0
Bedford,6052,Primary,Morley Primary School,FALSE,,,Morley Primary School,"R50 (1.4%), R35 (1.3%), R30 (0.9%), R60 (0.4%), R40 (0.1%), R160 (0.0%)",R50,1.4,FALSE,0
Bedford,6052,Primary,Sutherland Dianella Primary School,FALSE,,,Sutherland Dianella Primary School,"R50 (1.4%), R35 (1.3%), R30 (0.9%), R60 (0.4%), R40 (0.1%), R160 (0.0%)",R50,1.4,FALSE,0
Bedford,6052,Primary,West Morley Primary School,FALSE,,,West Morley Primary School,"R50 (1.4%), R35 (1.3%), R30 (0.9%), R60 (0.4%), R40 (0.1%), R160 (0.0%)",R50,1.4,FALSE,0
Bedford,6052,Secondary,John Forrest Secondary College,FALSE,,,John Forrest Secondary College,"R50 (1.4%), R35 (1.3%), R30 (0.9%), R60 (0.4%), R40 (0.1%), R160 (0.0%)",R50,1.4,FALSE,0
Bedfordale,6112,Primary,Lathlain Primary School,TRUE,18691.46151,18691,Lathlain Primary School (approx ~18691 m),R5 (0.0%),R5,0,TRUE,97.94888374
Bedfordale,6112,Secondary,Willeton Senior High School,TRUE,15017.2357,15017,Willeton Senior High School (approx ~15017 m),R5 (0.0%),R5,0,TRUE,97.94888374
Beechboro,6063,Primary,Morley Primary School,TRUE,1442.320017,1442,Morley Primary School (approx ~1442 m),"R20/35 (5.0%), R20/50 (4.2%), R20/40 (2.1%), R40 (0.3%), R30 (0.1%), R30/50 (0.0%), R20 (0.0%)",R20/35,5,TRUE,17.99497625
Beechboro,6063,Secondary,John Forrest Secondary College,TRUE,2921.97022,2922,John Forrest Secondary College (approx ~2922 m),"R20/35 (5.0%), R20/50 (4.2%), R20/40 (2.1%), R40 (0.3%), R30 (0.1%), R30/50 (0.0%), R20 (0.0%)",R20/35,5,TRUE,17.99497625
Beeliar,6164,Primary,Manning Primary School,TRUE,10484.39606,10484,Manning Primary School (approx ~10484 m),"R20 (12.3%), R25 (1.5%), R40 (1.2%), R60 (0.2%)",R20,12.3,TRUE,54.92893957
Beeliar,6164,Secondary,Leeming Senior High School,TRUE,4375.147352,4375,Leeming Senior High School (approx ~4375 m),"R20 (12.3%), R25 (1.5%), R40 (1.2%), R60 (0.2%)",R20,12.3,TRUE,54.92893957
Beldon,6027,Primary,Balcatta PS,TRUE,11954.77482,11955,"Balcatta PS, West Balcatta PS, Osborne PS (approx ~11955 m)","R20 (16.8%), R20/40 (5.6%)",R20,16.8,TRUE,12.48628307
Beldon,6027,Primary,Osborne PS,TRUE,11954.77482,11955,"Balcatta PS, West Balcatta PS, Osborne PS (approx ~11955 m)","R20 (16.8%), R20/40 (5.6%)",R20,16.8,TRUE,12.48628307
Beldon,6027,Primary,West Balcatta PS,TRUE,11954.77482,11955,"Balcatta PS, West Balcatta PS, Osborne PS (approx ~11955 m)","R20 (16.8%), R20/40 (5.6%)",R20,16.8,TRUE,12.48628307
Beldon,6027,Secondary,Duncraig Senior High School,TRUE,1472.819431,1473,Duncraig Senior High School (approx ~1473 m),"R20 (16.8%), R20/40 (5.6%)",R20,16.8,TRUE,12.48628307
Belhus,6069,Primary,Morley Primary School,TRUE,12976.52556,12977,Morley Primary School (approx ~12977 m),,R20,,TRUE,62.57808522
Belhus,6069,Secondary,John Forrest Secondary College,TRUE,13468.45922,13468,John Forrest Secondary College (approx ~13468 m),,R20,,TRUE,62.57808522
Bellevue,6056,Primary,Bayswater Primary School,TRUE,7910.778438,7911,Bayswater Primary School (approx ~7911 m),"R20 (4.0%), R20/40 (4.0%), R12.5 (0.3%), R20/35 (0.0%), R20/50 (0.0%)",R20,4,TRUE,21.65682417
Bellevue,6056,Secondary,John Forrest Secondary College,TRUE,6283.321547,6283,John Forrest Secondary College (approx ~6283 m),"R20 (4.0%), R20/40 (4.0%), R12.5 (0.3%), R20/35 (0.0%), R20/50 (0.0%)",R20,4,TRUE,21.65682417
Belmont,6104,Primary,Carlisle Primary School,FALSE,,,Carlisle Primary School,"R20 (6.5%), R20/40 (1.4%), R20/50/100 (0.5%)",R20,6.5,FALSE,0
Belmont,6104,Primary,Rivervale Primary School,FALSE,,,Rivervale Primary School,"R20 (6.5%), R20/40 (1.4%), R20/50/100 (0.5%)",R20,6.5,FALSE,0
Belmont,6104,Secondary,John Forrest Secondary College,TRUE,101.2536524,101,John Forrest Secondary College (approx ~101 m),"R20 (6.5%), R20/40 (1.4%), R20/50/100 (0.5%)",R20,6.5,FALSE,0
Bennett Springs,6063,Primary,Morley Primary School,TRUE,2328.714724,2329,Morley Primary School (approx ~2329 m),,R20,,TRUE,32.26651998
Bennett Springs,6063,Secondary,John Forrest Secondary College,TRUE,3981.551688,3982,John Forrest Secondary College (approx ~3982 m),,R20,,TRUE,32.26651998
Bentley,6102,Primary,Curtin Primary School,FALSE,,,Curtin Primary School,"R-AC0 (3.5%), R60 (1.0%), R40 (0.4%), R100 (0.0%)",R-AC0,3.5,TRUE,0.04743703
Bentley,6102,Primary,Millen Primary School,FALSE,,,Millen Primary School,"R-AC0 (3.5%), R60 (1.0%), R40 (0.4%), R100 (0.0%)",R-AC0,3.5,TRUE,0.04743703
Bentley,6102,Secondary,Como Secondary College,FALSE,,,Como Secondary College,"R-AC0 (3.5%), R60 (1.0%), R40 (0.4%), R100 (0.0%)",R-AC0,3.5,TRUE,0.04743703
Bertram,6167,Secondary,Leeming Senior High School,TRUE,15624.48104,15624,Leeming Senior High School (approx ~15624 m),,R30,,TRUE,60.23813123
Bibra Lake,6163,Primary,Manning Primary School,TRUE,6037.712963,6038,Manning Primary School (approx ~6038 m),"R20 (6.2%), R40 (0.1%), R30 (0.1%)",R20,6.2,TRUE,46.2243848
Bibra Lake,6163,Secondary,Lakelands SHS,FALSE,,,"Leeming SHS, Lakelands SHS","R20 (6.2%), R40 (0.1%), R30 (0.1%)",R20,6.2,TRUE,46.2243848
Bibra Lake,6163,Secondary,Leeming SHS,FALSE,,,"Leeming SHS, Lakelands SHS","R20 (6.2%), R40 (0.1%), R30 (0.1%)",R20,6.2,TRUE,46.2243848
Bibra Lake,6163,Secondary,Leeming Senior High School,FALSE,,,Leeming Senior High School,"R20 (6.2%), R40 (0.1%), R30 (0.1%)",R20,6.2,TRUE,46.2243848
Bickley,6076,Primary,Lathlain Primary School,TRUE,13326.86783,13327,Lathlain Primary School (approx ~13327 m),,,,TRUE,99.85311832
Bickley,6076,Secondary,John Forrest Secondary College,TRUE,14178.12403,14178,John Forrest Secondary College (approx ~14178 m),,,,TRUE,99.85311832
Bicton,6157,Primary,Como Primary School,TRUE,5667.907497,5668,Como Primary School (approx ~5668 m),"R17.5 (6.6%), R50 (0.4%), R60 (0.3%)",R17.5,6.6,TRUE,13.87596166
Bicton,6157,Secondary,Frenantle College,FALSE,,,"John Curtin College of the Arts, Melville SHS, Frenantle College","R17.5 (6.6%), R50 (0.4%), R60 (0.3%)",R17.5,6.6,TRUE,13.87596166
Bicton,6157,Secondary,John Curtin College of the Arts,FALSE,,,"John Curtin College of the Arts, Melville SHS, Frenantle College","R17.5 (6.6%), R50 (0.4%), R60 (0.3%)",R17.5,6.6,TRUE,13.87596166
Bicton,6157,Secondary,Melville SHS,FALSE,,,"John Curtin College of the Arts, Melville SHS, Frenantle College","R17.5 (6.6%), R50 (0.4%), R60 (0.3%)",R17.5,6.6,TRUE,13.87596166
Bicton,6157,Secondary,Melville Senior High School,FALSE,,,Melville Senior High School,"R17.5 (6.6%), R50 (0.4%), R60 (0.3%)",R17.5,6.6,TRUE,13.87596166
Booragoon,6154,Primary,Manning Primary School,TRUE,1191.316019,1191,Manning Primary School (approx ~1191 m),"R20 (29.5%), R40 (10.6%), R-AC0 (8.3%), R25 (3.7%), R100 (1.2%), R80 (0.4%)",R20,29.5,TRUE,11.4939852
Booragoon,6154,Secondary,Applecross SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS","R20 (29.5%), R40 (10.6%), R-AC0 (8.3%), R25 (3.7%), R100 (1.2%), R80 (0.4%)",R20,29.5,TRUE,11.4939852
Booragoon,6154,Secondary,Applecross Senior High School,FALSE,,,Applecross Senior High School,"R20 (29.5%), R40 (10.6%), R-AC0 (8.3%), R25 (3.7%), R100 (1.2%), R80 (0.4%)",R20,29.5,TRUE,11.4939852
Booragoon,6154,Secondary,Rossmoyne SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS","R20 (29.5%), R40 (10.6%), R-AC0 (8.3%), R25 (3.7%), R100 (1.2%), R80 (0.4%)",R20,29.5,TRUE,11.4939852
Boya,6056,Primary,Bayswater Primary School,TRUE,10524.58189,10525,Bayswater Primary School (approx ~10525 m),R5 (17.7%),R5,17.7,TRUE,98.04955161
Boya,6056,Secondary,John Forrest Secondary College,TRUE,9110.201356,9110,John Forrest Secondary College (approx ~9110 m),R5 (17.7%),R5,17.7,TRUE,98.04955161
Brabham,6055,Primary,Morley Primary School,TRUE,7128.452583,7128,Morley Primary School (approx ~7128 m),,,,TRUE,48.21346223
Brabham,6055,Secondary,John Forrest Secondary College,TRUE,7187.504553,7188,John Forrest Secondary College (approx ~7188 m),,,,TRUE,48.21346223
Brentwood,6153,Primary,Manning Primary School,TRUE,846.9679399,847,Manning Primary School (approx ~847 m),"R25 (17.1%), R12.5 (7.4%), R30 (1.8%), R20 (0.8%)",R25,17.1,TRUE,18.36883751
Brentwood,6153,Secondary,Applecross SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS","R25 (17.1%), R12.5 (7.4%), R30 (1.8%), R20 (0.8%)",R25,17.1,TRUE,18.36883751
Brentwood,6153,Secondary,Rossmoyne SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS","R25 (17.1%), R12.5 (7.4%), R30 (1.8%), R20 (0.8%)",R25,17.1,TRUE,18.36883751
Brentwood,6153,Secondary,Rossmoyne Senior High School,FALSE,,,Rossmoyne Senior High School,"R25 (17.1%), R12.5 (7.4%), R30 (1.8%), R20 (0.8%)",R25,17.1,TRUE,18.36883751
Brigadoon,6069,Primary,Morley Primary School,TRUE,15023.55403,15024,Morley Primary School (approx ~15024 m),,,,TRUE,90.2673064
Brigadoon,6069,Secondary,John Forrest Secondary College,TRUE,14951.59514,14952,John Forrest Secondary College (approx ~14952 m),,,,TRUE,90.2673064
Brookdale,6112,Primary,Manning Primary School,TRUE,18398.34768,18398,Manning Primary School (approx ~18398 m),"R25 (13.8%), R30 (0.6%), R40 (0.3%)",R25,13.8,TRUE,18.07371231
Brookdale,6112,Secondary,Leeming Senior High School,TRUE,14063.04269,14063,Leeming Senior High School (approx ~14063 m),"R25 (13.8%), R30 (0.6%), R40 (0.3%)",R25,13.8,TRUE,18.07371231
Bull Creek,6149,Primary,Manning Primary School,TRUE,1463.545205,1464,Manning Primary School (approx ~1464 m),R20 (12.2%),R20,12.2,TRUE,18.8586646
Bull Creek,6149,Secondary,Applecross SHS,FALSE,,,"Rossmoyne SHS, Applecross SHS",R20 (12.2%),R20,12.2,TRUE,18.8586646
Bull Creek,6149,Secondary,Leeming SHS,FALSE,,,"Willeton SHS, Leeming SHS",R20 (12.2%),R20,12.2,TRUE,18.8586646
Bull Creek,6149,Secondary,Leeming Senior High School,FALSE,,,Leeming Senior High School,R20 (12.2%),R20,12.2,TRUE,18.8586646
